text,bonus_clustering
Αλλού ο παππάς κι αλλού τα ρούχα του,8
Πούθε είσαι κλωναράκι; Απ' εκείνο το δεντράκι,7
Κάθε ξύλον και τον καπνόν,7
Ράχες ράχες η βροχή γένεια το κρασί,7
"Η γριά σαν εγαμήθη, έσφιχτομανταλώθη",7
Εβγήκαν ή σκασμέναις σαν ακρίδες,10
Ερωτοίν την Φατιμέ πότε πιάνουν μπαϊράμι,7
Τα ήθελες κι τα ήθελα,7
Όντας (όταν) γηράζ' συ λύκους μασκαράς τουν σικλιών γίνιτι,4
Τον ακάλεστο τον βαν' στον πάτο,4
Τρώει τα λόγια του,4
Νίπτομαι τας χείρας,7
Αφορμή δεν είχαμε κι' ο Θεός μας την έστειλε,4
Εγώ 'μαι κ' η γαιδάρα μου και τρεία κουβέλια,8
Άνξι πορειά,7
Η σοφία νικάει σήμερα την αντρεία,1
Η καλή μέρα φαίνιτ' απού του πρωΐ,2
Τρανάει ν άκρα τ,7
Πίστεψε τον Αλή και βάρ' τον Καραλή,3
Έφτασε εις του Θεού τ' αυτί,7
"Γριά γαμήσ' εγύρευε, τώρα τώρα το ήθελε",8
Άνθρωπος της ξαπλωσιάς και ντεμπελιάς,4
"Όποιος έχει τη μύγα, μυγιάζεται",4
Καλή μέρα χωργιά του,5
Τρέχ' η μύτ' σ' γαμβρε! Τρέχ' απού του χ'μώνα. Σι ξέρου κι απου του καλουκαίρ',7
Είναι η νήλα κατά ηλιού,7
Να ήταν η δ'λειά καλή δούλιυι κι ου δισπότ'ς,7
Έχει ρούμπαλο στον κώλο,7
Ούδε με λύει ούδε με δένει,7
Όποιος πνίγεται από τά μαλλιά του πιάνεται,7
Του γένομαι αγκούσα,7
Ένας μήνας θρέφει τσ΄ ένδεκα κ΄ οι ένδεκα τον ένα,5
Όπ' ο Γιάννης και ο Κολιός,7
Ηύρις διάουλουν να γιλάις,10
Ο λύκος όταν γηράσ' γίνεται των σκυλιών μασκαράς,4
Ου καλός καλό δεν έχ',8
Βάρεσε το μαχαίρι στο κόκκαλο,7
Έπιασαν τα προζύμια,8
Του ήμερου τ' αρνί βζάν' δυο μανάδες κι τ΄άγριου ούτι τθκίτ,7
Είναι κι αυτός μέσα μπασμένος,7
Της καλομάννας το παιδί Σ' εννιά μήνες περβατεί,9
"Αν ήταν η ζήλεια ψώρα, θα κόλλαε τον κόσμον όλον",9
Κρύο που τρεμ' το φιδ' ς' την τρύπα τ',7
"Είπα σου κυρά να κλάνης, μα να μη το παρακάνης",4
"Ακόμα δεν τον είδαμαν, Γιάννη τον εβγάλαμεν",7
"Κουρεύϊτι, βαδεύϊτι μι δικουχτώ ψαλίδια",7
Αγαπάει ου Θιός τουγ κλέφτ' μ' αγαπάει κι του ν'κουκύρ',4
Ή μικρός μικρός πανδρέψου ή μικρός καλογηρέψου,7
Έχει ζιόγκον,10
Άλλους τ' χάρ' κι άλλους τόνουμα,0
Με πήρες 'ς το λαιμό σου,0
Σαν τα σπίτια της Πεπέλης,0
"Αμαρτία 'μολογημένη, στό μισό συγχωρεμένη",0
Το Πάσχα να είχα να 'τρωγα κι απόπασχα φορούσα,0
Δεν ακούει ου Θιός τσκρούνες,0
"Μαυρομοίρα, που 'χες άντρα ολ' επνίχτ'καν και συ έρθες",0
Απ' τν' ανεμουβρουχιά καλό είνι κι του χαλάζ',0
Άλλοι τρων τ' αυγά με το πιπέρι κι' άλλοι κρατούν τ' αρχίδια με το χέρι,0
Πιάσ' τον άπιαστο,0
Δούλευε και δουλειά να μη σε λείπ',0
"Με τον ήλιο μπαίνουν με τον ήλιο βγαίνουν, τ' έχουν τα έρημα και ψοφούν;",0
"Όσ' ο νους μου στο χωράφι, τόσα βόιδια να πομείνουν",0
Μάτια πραμάτεια,0
Ο ξένος και ο πόταμος τον τόπο τους γυρεύουν,0
"Αλλού μι τριβς, γούμινε, κι' αλλού έχου τουν πόνου",0
Απόκτησε η κοπριά φροκάλι,0
Είναι αζύς σαν το ξύδι,0
"Άνδρας είσε, φόβος δίχνεις, κι' όθε πάς κλωτσιές μαζώνης",0
Επρόσταξαν την αλουπου κι' η αλουπου την ουρά της,0
Αγάπα με να σ' αγαπώ κε φίλα με να σε φιλώ,0
Μη πάρη τα μούτρα και ξανάρθη!,0
Μάτια γαλανά ψυχή του σατανά,0
"Μέσα, όξου, όρσι, κι τι ουρίεις, πιράει η μέρα",0
Ηύρε λόγγον χωρίς τσεκούρι,0
Καιρός για σύκα,0
Μ' έχ' στο γλούπο,0
Μας μπήκε στες μύτες,0
(Τάκανε) γης Μαδιάμ,0
Όντα κλέφτουν μην κλέφτης κι όταν διαλαλούν μη φοβάσαι,0
Ίσιος σαν το κλήμα,0
Παρά μια τεσσαράκοντα (έφαγε),0
"Άνθρωπος πολύβουλος, Θεός ο βουληκόπος",0
Σαν έπρεπε δεν έπρεπε και το Μάϊ χιόνισε,0
Σα θάλασσα βουρλίζεται σαν κύμα δερν΄ ο νους της,0
Δεν του βγάζει πλώρη,0
Ήρθε στην ξύφαση,0
Τουμ βλάκουσ' αράπ'ς,0
Έσπασε ο λόγος,0
Πιοιός του κριμάει του γκ'δούν' τ'ς γάτας,0
Αγουρουφάις έφαε (ου) συρμουφάις δεν έφαι,0
Κάλλια να σε ζηλεύουν παρά να σ' ελεημονιούνται,0
Ξεκαρδίσθηκα 'ς τα γέλια,0
Θα τα πάρ'ς μι διάφουρου,0
Ο διάβολος δεν έχει ανάκαρα,0
Με τον θ'κό σου φαε και πιε κι αλισιβερίσι μην κάνης,0
Κάλλια λόγια στο χωράφι πέρι μάγγανα στ' αλώνι,0
Πήρε άρατα πύρατα,0
Κιμάτι μι τς κόττις κι σ'κώνιτι μι τς γάτις,0
Απ' όπου κι αν τον 'γκίσης τα χέρια σου θα χρείσης,0
Σου πολιτεχνα το σπίτι συφορά και καταδίκη,0
Είναι γερός ασλάνι,0
Άστονε (ι) να βγάλη το σβέρκο του...,0
Σαν η κόττα αποκάτω στον αητόν!,0
Πουθι κρατάει η σκούφια τ',0
"Σου λείπ' μάννα, δε σου λείπ' λανγκιόλ'",0
Από τον Άννα στου Καϊάφα,0
Και το σπίτι στο γκρεμό και το χωριό στο ρέμμα,0
Δούλιυέ μι κακουρίζ'κι να μη γένου σαν κι ισένα,0
"Εμ κρύγιο εμ θολό, εμ τραυάει",0
Η νύχτα κάνει επίσκοπο κ' η αυγή Μητροπολίτη,0
Τα νιάτα ν' αγοράζονται τα γέρα να πωλιόνταν,0
Γιννήθκι τ Μιγάλ' 'μ Πασκαλιά,0
Είς τα καλά καθούμενα,0
"Κρεμάς το ζωνάρι σου για να τον δείρω, ήγουν με σπρώχνεις, με ερεθίζεις, να κάμω ότι δεν θέλω",0
Έχ΄ κι στου γκώλου μάτια,0
Από Μαρτιού ποκάμισο κι απ' Αύγουστο σεγκούνα,0
"Όποιος προσκυνώντας κλαίει, μόνον ταις μετάνοιαις χάνει",0
Καλό τυρί σε σύλλινο τομάρι,0
"Καιρός παννιά, καιρός παιδιά",0
Σ' εγύρευα με το κερί και σ' ηύρα με τον ήλιο,0
"Έπαρε λάδι από κορφή, κρασί πάρε απ' τη μέση και μέλι από τον πάτο",0
Άλλα ο γάϊδαρος και άλλα ο γαϊδουριάρης,0
Τον έσφαξε η πείνα,0
Στου ξένου του σπίτ' δεμ προυστάξν,0
Έπιασε η γάτα το ποντίκι,0
Πέθανι απου του κακό τ,0
Μας μπήκε στ'ς μύτες,0
Το Μάϊ τον κόκκινο. Πότε θα γίνη αυτό;,0
"Βγήκα με τ' αρνάκια μου με τα κατσικάκια μου, μπριτς, Μάρτη",0
Έρθ' ο γιός της Γκαβής,0
Του γάμησε το κέρατο,0
Τον έβγαλε στο μεγντάν',0
Εσέ τα λέγω πεθερά για να τ' ακούση η νύφη,0
Άνθρωπος ο πολυβούλης κι' ο Θεός ο κοψοβούλης,0
Να βγάλω το άχτι της καρδιάς μου,0
Ξέφραγος κήπος έρημα λάχανα,0
"Δεν τα 'χω γανωμένα τα μούτρα μου, όπως τα 'χεις εσύ",0
Τι έχεις Γιάννη; ότι είχα πάντα / φρ.,0
"Στου κουφού τημ πόρτα, όσο θέλεις βρόντα",0
Σάν να του πνΐκαν τά καράβια,0
Δανκό κυρά τ' αλεύρι δαν'κό κι του προυζύμ',0
"Ξύλου κούτσουρου, δαυλί καιμένου",0
Εδώ καράβια πνίγονται και συ που πάς βαρκούλα;,0
Του πήρε ως και το σφουγγάρι απ' το μύλο,0
Όλα τά 'χει η Μαριορίτσα μόν' ο φερετσές τής λείπει,0
Παλληκάρι της φακής κι' άλογο της γάτας,0
"Όποιος ρωτά, μαθαίνει",0
Αηλί στουν παντιχούμινου της γειτουνιάς του γιόμα,0
Την έστειλα στα γεννήσια και μου ΄ρθε στα βαφτίσια,0
Ο άντρα να κουβαλάη με το σακκί κι η γυναίκα να βγάζη με το βελόνι ποτέ δε γένεται σπίτι,0
Ήρθ' ο κόμπος στο χτέν',0
Ο βλάχος κι αν αγιάση κερί μη τ' ανάφτης,0
Έχει τη γομάρα δεμένη από την καλαμιά,0
Σάματ θά να βγάνω το χσό το δόντι,0
Τα ματαμιιδής χιρέτα μι,0
Ο πνιμένος πιάνεται απ' τα μαλλιά τ',0
Αμ' έπος κι αμ' έργος,0
Κουτσοί στραβοί στον Άι – Παντελέημονα,0
Είναι όλο ζπούδια,0
Θα ξυπνήση η κουρεμμένη και θα ιδή το πάπλωμά της,0
Κάνι μι προυφήτ' να σι κάνου άρχουντα,0
Δεν έχ' βρακί να βάλ' στουζ κώλου τ',0
Είναι βαένι αρούπτωτο,0
Όμορφος σαν το λιοτήρι,0
Μιά φορά κ' έναν καιρό ήταν εκείνο,0
Φεγγάρι για κλέψιμο,0
Πρέπει να το ΄χ΄ η κούτρα του,0
Πρώτα θα ιδής του γείτουνα κ' ύστιρα τουν ήλιου,0
"Αϊλί, απού τουν αδιρφό μ΄ πώχ΄ χίλια πρόβατα",0
Σαν τ'ς χουχλουβάϊας,0
Δε λείπει τό λαγκιόλι λείπει καί η μάννα,0
Κόφτει παπαρδέλες,0
Εις τας κρυψιώνας της καρδιάς μου σ' έχω,0
Λύκος και δεν χουγιάζεις,0
Κάλλια λόγια 'ς το χωράφι παρά μάγγανα 'ς τ' αλώνι,0
Σ' έχω γω στο λαιμό μ',0
Έχω χαλκά στο λαιμό,0
Βάρει του καλού να γεννή καλλήτερος βάρει του κακού να γεννή χειρότερος,0
Απ' αγάπη την επήρε ο κοχλιός την πεταλούδα,0
"Πέσε πίτα, να σε φάω και ψωμί να σε ματσιαλήσω",0
"Από τα καλά συναγμένα παίρ' ο διάβολος τα μισά, από τα άδικα κι αυτόν κι αυτά",0
Την προκοπή του καβούρου,0
"Αν δεν στρώσ' ο μύλος, δε βγάν' αλεύρι",0
"Ακουσάσε κ' ίδρωσα, είδα σε και 'ξίδρωσα",0
Τον ετσάκωσε ο Αράπης,0
Γλυκόλογος κ' πικραμένος,0
Απ' όξω πο το χορό τραγούδια πολλά,0
Τον έπλασε το σκαφίδι,0
Έχει τα ΄μάτια ΄ςτα ποδάρια,0
Τουν έκανι κι κατούρ΄σι γαίμα,0
Μα τουν άγιου,0
Όλ' έκλαιγαν του χάλ' τ'ς κι ου μυλουνάς τ' αυλάκ' τ',0
"Σύρτε με κι ας κλαίω, κι αν κλαίω τί σας κάνω; Σύρτε με, μωρ', σύρτε με, πάρτε μ' και τη βελεντζούλα μου",0
Μή πρός βάρος,0
Πλάκωσ' ο γρίβας,0
Παιδί είναι κι' ας παιδεύεται,0
Θα ρήξω στ' αστρί,0
Όλα ανάποδα κι ο γάμος την Τετάρτη,0
Το πολύ το Κύριε ελέησον το βαριώνται κ' οι άγιοι,0
Ούτ' είχι ου παπάς γρούνια ούτι νάχι',0
Γιατί τουγ καλούν του γάιδαρου στ' χαρά; Για να γκ' βαλάη νιρό,0
Επιάστηκε η αλπού στο σίδηρο,0
Έβγαλε΄τ' άφωνο από μέσα του,0
Οπέρ τον αρπάξαι κ' ξεχίσαι,0
"Ο παπάς από την Πόλι, η παπαδιά του μολογάει",0
Τ'ν έδεσε τη γάτα τ',0
Καρδιά καμμένη μια κουλούρα σταχτομένη,0
"Όλα τα σάββατα λυτά, της Πασχαλιάς δεμένο",0
Σκότουσα κ' ένα Βλάχου κι στου γ κώλου μ' δεν τουν γράφου,0
Κάλλια να μετράς τα πλευρά παρά τες ομπλές,0
"Βρωμά ο Βριός κ' η τύχη του, βρωμούν και τα καλά του",0
Τί τ' λείπ' τ' κασιδιάρ' σκούφια 'πού μαργαριτάρ' !,0
Καν διάτα,0
Τι κάνεις; - Αποκάνει,0
Το ζουρλό και το χωριάτη ξένοι πόνοι τον γηράζουν,0
"Όσο αριώνουν τα σκόρδα, τόσο χοντραίνουν",0
Εβάλαμε το λύκο να φυλάξη το μανδρί,0
"Μικρή βοήθεια, μεγάλη σωτηρία",0
"Όποιους δεν έχ' τ γνώσ' στου κιφάλ', ν έχ στα πουδάρια",0
Η μπεκιαριά είν' αρχοντιά,0
Στων αμαρτωλών τη χώρα το Μάη βρέχει,0
Ζιάει η μάννα μ',0
Έλα τάτα να σου δείξω που τόχει η μάνα,0
Κατά μάνα κατά τάτα και ο γυιος κι η θυγατέρα,0
Βρέχ(ει) κι χιονίζ(ει) κι ου παπάς αρραβουνίζ(ει),0
Άλλαι μέν βουλαί ανθρώπων,0
Απ' αγάπη του καλού μου δεν τον είδα αν είχε γένεια,0
Στην καλή τη γίδα κρεμούν κουδούνι,0
Στραβοί κουτσοί όλοι στην αγιά Παρασκευή,0
Ο πεινασμένος κομμάτια βλέπει (στον ύπνο του) κι' ο διψασμένος βρύσες,0
Ου καπνός κοίταξι να βγαίν' ίσια κι' ας είνι του τζιάκ' στραβό,0
Αθώος ειμί,0
Άλλος ψυχομαχάει κι άλλος φαρομανάει,0
"Όπου γάμος κ' χαρά, τρέχα Γιάννη από κοντά",0
Άρραις μάραις κουκουνάραις,0
"Όλα γένουντι, μον' τ' σπανού τα γένεια δε γένουντι",0
Να κί νόμ' κί χαρά μιγάλ',0
Γκαβός βελόνι γύρευε μέσα στην αχυρώνα κι άλλος κουφός του έλεγε για το που βροντάει,0
Που τον ξέβρασες αυτόν ... Τον ξέβρασε η θάλασσα,0
Έγινα λύρα,0
Όποιος βρέχει τον κώλο τρώγη ψάρια,0
Αν δεν κλάψη το παιδί δεν το βυζάν' η μάνα,0
"Μια φορά πηγαίνει το κολοκύθι για νερό δυό, την τρίτη τσακίζεται",0
Του γιόμ'σαν τη στρωματιά,0
Έκαμε η κόττα κώλο κ' έχεσς τον κόσμο όλο,0
Από πικρή κολοκυθιά ουδέ κολοκυθόσπορο,0
"Αντίς να με φάη ο τσάκαλος, κάλλια να με φάη ο λύκος",0
Ου ένας τουν λούζ κι ου άλλους τουν χτινίζ',0
"Ιδώ δεν τουν θέλι του χουργιό, κι αυτός ρουτάει πουν τ' παπά του σπίτ'",0
Ακόμα δε μ βουρεί να δέσ' τα βρακιά τ' πανδρειά θέλ',0
Ηύρ' η τέντιρ' του καππάκ',0
Έπεσε τ' βούθ',0
Μου γίνηκε το μάτι ζάβα,0
Κόννας τα πόδια σου σαν ο κουρουπάς,0
Το καράβι εδιπλάρωσε,0
Κάλλια κακοπανδρεμένη ή κακοκουβεντιασμένη,0
Καθαρός ουρανός αστραπή δε φουβάτι,0
"Όποιος δεν ακούει με λόγον, με το ξύλο",0
Θα σκάση το καρπούζι 'ς  το κεφάλι του,0
Ξέρεις το πι σου και το ρο σου,0
Ο Θιός να τ' αβγατίσ(η) κι ο Κατής να διακονήσ'(η),0
Άλλα καρκαλιέται η κόττα κι΄άλλα κράζει ο πετεινός,0
Της σιδερώστρας η φουφού αναποδογύρισε,0
Όταν φάγη το κονάκι τοίμασε το σαβανάκι,0
"Όσα σου κόψει το δόντι, τρώγε",0
"Αγάλ' αγάλι γίνεται η αγουρίδα μέλι, αγάλ' αγάλ' εφύτευεν ο φρόνιμος αμπέλι",0
Άρατα πύλατα,0
Πάρ' τουν στου γάμου σ' να σπή κι τ' χρόν',0
Άγγιξε το μαχαίρι στο κόκκαλο,0
Καθένας βράζ' μι του ζ' μί τ',0
Κακά γραφτά,0
Έσβησα 'ς τα γέλια,0
Είνε νύχι καί κρέας,0
Κλωτσιές των προβάτων χαρά του λύκου,0
"Τα συχαρίκια μου πεθερά, η νύφη μας κασσιδιάρα",0
Της νύχτας τα καμώματα τα βλέπη η 'μέρα και γελά,0
"Τι σε μέλ΄ εσέν΄, καλέ μου, για το γύρο της ποδιά μου;",0
Γυναίκες βρίσκεις χίλιες στον παρά,0
Η ακρίβεια φέρ' κι τη φτήνια,0
Μάμι και νάνι,0
Το κακό με το σακκί μπένει και με το βελόνι βγαίνει,0
Έχ' βαϊνάδις στου κιφάλ',0
Βάλτι μ' κ' ιμένα ένα καρφάκο (ή σ' χρειάζετι),0
Αγράμματος άνθρωπος ξύλον απελέκητον,0
"Εκατό χρόνων η αλεπού, εκατόν δέκα τ' αλεπόπουλα",0
"Τι θ' αφοράσω 'γω, γουρούν' στο σακκί;",0
Εμπήκε στο σπίτι κλέφτικα,0
"Άϊ μου Γιάννη, βόηθησε, σείσε και σύ τα πόδια σου",0
Πήρι δρόμον,0
Όποιους έχ' πουλύ πιπέρ' βάν κι στα λάχανα,0
Οι πουλλές οι μαμμές βγάν' ν του πιδί σακάτκου,0
"Σά σώρχιτ' αναγούλια, βάλ' του δάχλουσ' να ξιράης",0
Η θα βρέξ' ή θα χιονίσ' ή καλός κιρός θα κάν',0
Άλλα λέγω του παππά και άλλα μου καλαναρχά,0
Τα πιδιά απού τ' μάννα ουρφανεύν',0
Μαύρα μάτια σαν ελιές και γεμάτα μαργιολιές,0
Άλλος έφαγε τα σύκα κι άλλος τα πλερόνει,0
Οπ' γιαχνί κι αυτός πεπέρι,0
Λέγ' μπάρα μπούρα,0
Άλογο σιδερικό ήγουν δυνατό και ποδοφτερουγάτο,0
Έπεσε εις τ' άπατα,0
Είναι νερό για λειτουγιά,0
"Απόχτησ' ο άβρακος βρακί, κάθι κ' ώρα και το λυεί",0
Τόσα ζωνάρια έχει το σπιτικό του ήγουν τόσαις γενεαίς έχει η οικογένεια του,0
Εδώ είμαι κ' εδώ νά 'μαι,0
Του κρατουν τες ποδιές,0
Σι' μια αμασκάλ' δυό πιπόνια δε χωρούν,0
Ο κάμπος έχει μάτια κι ο τοίχος αυτιά,0
Δυό σπασμέν' ένα γερό,0
"Με πουλησες, μαννίτσα για μια ζυγί παπουτσια",0
Ο Θεός να σε φυλάγη από βουβό ποτάμι,0
Αυτά τα λέγουν στο μύλο,0
Πέτρα που κατρακυλά μουχό ποτέ δεν πιάνει,0
Κόψι ξύλου φκειάσι Γεώργου κι απού κουτσουπιά Θανάσ' κι αν ρουτάς κι για του Γιάν' κι απού βρουμουξ'λιά νάνι κάν',0
Του βγήκαν τα μάτια του,0
"Τί σου λείπει, κασσιδιάρη; σκούφ΄από μαργαριτάρι",0
Σύρε στο γάμο να πής και του χρόν',0
"Κάλλια το κακό στο μάλι μου, παρά στο κεφάλι μου",0
Ο κόσμος εθρηνίζουνταν κι οι κούρβες εστολίζουνταν,0
Άφρακτος ο κύπος έρημα τα λάχανα,0
Κάθι αρχή κι δύσκολ',0
Δεν εχ' κώλου,0
Εννιά κ' η βάρκα δέκα,0
Κόσμος θάμα,0
Σκάβω λαγούμι,0
Ούρμα – άγρα,0
Κι αυτός κακό χειρόβολο κι εγώ κακό δεμάτι,0
Άναψε κηρί του διαβόλου να σε κάμη να χεσθής,0
Ο αγωροφάης κερδίζει,0
"Κάθε πέρσι και καλύτερα, κάθε φέτο και χειρότερα",0
Πίσω ξανανά,0
Βαρύ σαν το μαλύβι,0
"Ξύλα, κούτσουρα, δαυλιά καμμένα",0
Δυό άτια 'ς έναν νταβλά δεν τρών,0
Ε καλά μόσκασε η κοιλιά,0
Τούτος ο ανήφορος έχει και κατήφορο,0
Ού μας γέννησ' η γομάρα στο κατώει,0
"Όσ΄ έχ΄ γρόσια στο πουγγί, τρώει ψάρια στο βουνί",0
Κουφόν καμπάνα κι' αν λαλής τυφλόν κι' αν θυμιατίζης και μεθυσμένον κ' αν κιρνάς όλα χαμένα τα χεις,0
Απ' ομπρός τό φίλο κι' από πίσω τό σκύλο,0
"Είπα της γρηάς να χέση, κ' έκατσε κ' εξεκωλώθη",0
Όσο να πάρης την ανάσα σου,0
Τον κακό του τον καιρό και τον ασβολομένο,0
Αφήνομε το γάμο και πάμε για περνάρια,0
Πέρυσι εκάη κ' εφέτο μύρ'σε,0
"Σ'ακά, σ'ακά, μπομ σ'ακά",0
Η κλιά δε έχι παραθύρια,0
Επήγαμε να σκάψωμε και μας επαταγώσαν,0
Τ' αποθαμμένου το πουγγί αναποδα γυρίζει,0
Όσο να στολίσουν τη νύφη βγαίνουν τα μάτια του γαμπρού,0
Ο νοικοκύρης το πουλεί κι' ο τελιάλης δεν το δίνει,0
Κάλλια τ' αρχίδια του γαμβρού παρά τα μάτια του παιδιού,0
Ο ήλιος δεν κρύβεται με τον κόσκινον,0
Έννοια σ΄ κι μη σι μέλι΄ ξέρ΄ ου Γούσιας του τι θέλι΄,0
Επήγε για μαλλί κ' ήρθε κουρεμμένος,0
Το ψάρι το μεγάλο τρώει το μικρό,0
Έκλασ' η νύφ' ... σκόλασ' ο γάμος,0
Μετά πνεμάτων δικαιων,0
Μου ράϊζεται η καρδούλα μου,0
Του νόστιμου του φαητό του μαειρεύ' η πείνα,0
Όσου τ' ανακατών'ς τα σκατά τόσου βρουμού,0
Από τα κεραμίδια να τώβρη,0
Χαρά 'ς ν  γκαρδιά σ'!,0
Χωρίς λουφέ κ' ο Άγιος δεν δουλεύει,0
Ζαβή δουλειά,0
Κλέφτ'ς άπιαστους χέζ' του ν'κουκύρ',0
