text,f3352321,f3352310,f3352311,f3352316,f3352318,f3352314,f3352315,f3352301,f3352308,f3352307,persona1,persona2,persona3,persona4,persona5
"Άη μου Νικόλα, και σώσε με. Λέει, Και σάλεβγε κι΄εσύ τα χέρια σου",4,3,12,6,6,6,5,6,7,17,1,2,5,6,10
"-Θώριε στραβέ. Λέει -Θώριε, Θεέ",4,3,3,6,6,6,5,6,7,10,8,6,6,5,8
"Ο πετεινόν που κουγίζει παρώρας, κόφτει το κεφάλιν ατ",1,1,1,2,6,2,10,4,2,32,4,7,6,3,3
"Ποιός ζει, ποιός πεθαίνει",1,5,11,15,4,3,2,9,4,5,1,5,6,4,2
Κάνω ένανε κοιλό και λαγήνι,1,1,17,50,6,4,10,1,6,50,8,5,6,5,1
Μοναχός σου χόρευε κι όσο θέλεις πήδάγε,2,5,9,2,6,2,7,1,2,33,3,7,2,6,10
Άνθρωπος ακάλεστος στογ γάμοσ σαν τογ γάδαρον,5,5,6,10,6,5,4,3,1,19,9,1,6,7,7
"Ρίξ', ρίξ' γαμπρέ μ' πλατπούτσ'",2,3,6,10,6,5,4,7,8,34,5,8,3,1,1
Όποιος 'ς το κόσμο δε γλεντά και το κρασί δεν πίνει άθρωπος δε λογίζεται όσο χρονώ κι α γίνη,2,1,8,5,4,2,2,5,4,39,3,4,4,5,5
"Όποιος πειναει για να πλουτήση, μόν' η πείνα θα του μείνη",2,2,2,5,1,1,10,3,4,26,7,1,5,2,7
"Άντρα μου, η ξύξες σου τρέχουσι(ν), - Είνε γεναίκα, που το χειμώνα. - Σε ξέρω δα, άντρας μου και που το καλοκαίρι",1,5,4,10,6,4,2,7,8,35,1,3,3,4,2
Να καναν οι μύγες μέλι τρεις οκάδες στον παρά,1,3,1,11,6,1,6,4,1,16,1,5,1,5,3
Σαν θέλ' η νύφ' κι η γαμπρός μπομπή κ' τα συμπεθέρια,1,1,6,10,6,5,4,7,8,19,1,8,6,4,5
Όποιος έχει σειέται κι όπου δεν έχει ξυέται,1,5,9,5,6,2,2,3,4,5,6,3,5,4,8
Και όποιος θε να σε κρεμάση ποιός το λε' μη θαν ο ετός σου κι όποιος θε να σε γλυτώση ποιός το λε' μη θαν ο χθρός σου,2,2,16,17,6,2,10,9,1,11,2,7,6,3,10
Θέλωντας ο νοικοκύρης και μη θέλωντας ο ζωγράφος βάστα και συ Χριστέ κόκκινα ποδήματα,4,4,3,6,6,6,2,6,7,50,5,2,2,5,2
Αν μου πιάσης την μύτη σκάω,1,1,12,50,6,8,6,3,1,50,5,6,4,2,8
Ο κινάς κ' η Τρεμιντίνα κάνουν τη γριά καντίνα,1,5,17,50,6,9,4,1,2,50,4,2,4,4,4
Όταν αγιαστούν τα νερά ησυχάζ' ο καιρός,4,4,4,6,6,6,7,6,7,40,10,9,6,1,5
Ευκή ονιού αόραζε και μη βουδί αλοάρι,2,2,1,14,6,4,5,1,6,19,8,9,6,7,1
Πλέει τ' όνομα εις τον νου μου,1,1,15,15,5,4,10,3,8,47,1,1,6,1,8
Η καμήλα εγ κουτσανίσκει που ταφτίν,1,1,1,11,6,3,2,4,6,19,1,4,1,6,1
Αρχίντσεν τα παρδαλά,1,5,13,9,5,8,10,1,1,36,3,2,5,4,2
Απόξω κούκλα κι' από μέσα πανούκλα,3,5,10,12,2,7,7,3,1,15,10,6,6,7,8
Είχα το παιδί κι είχα τη χαρά κι έψηνα του πέντ' αυγά κι έτρωγα τα τέσσερα και το μισό κι απου το μισό τ' άλλο μισό πόσο 'τρωε το παιδίν;,1,1,8,15,6,4,7,5,8,13,4,8,6,7,1
Εσηκώθηκ' η Νοθιά με τα παιδογγονά τζη,1,1,6,14,6,4,7,7,6,50,3,1,2,1,5
"Βούρλα μού δώνεις, ψαθί σού πλέκω",1,1,8,9,6,8,1,3,8,37,1,1,3,2,8
"Ξερό ψωμί, καλή καρδιά, φέρνουν ζωή και νιάτα, όχι περόνια ολόχ' σα τσαί ασημένια πιάτα",2,1,8,5,1,9,3,5,2,7,5,4,5,7,2
"Τέτοιου τσιφάλ', τέτοια θέλ'",1,5,17,2,6,8,10,3,2,50,1,6,4,4,7
Τουν γιλάει ου καθρέφτ'ς,1,5,8,2,6,7,4,1,1,48,9,3,3,1,8
"Όπου ακούσης μέγα τρύγος, παίρνε μικρό καλάθι",2,2,8,17,3,2,10,3,2,38,5,1,6,2,2
"Σκυλλί γαυγίζει, καρ'βαν πιρνα",2,2,1,11,6,2,1,4,2,16,6,1,3,1,4
Τη δουλειά σου και το όργο σου ψηλά,2,2,5,8,6,1,7,2,2,12,3,4,4,3,2
"Όποιο δάχτυλο να κόψω, πονεί",1,1,12,14,6,3,2,3,2,41,4,1,3,4,3
"Τα γέλοια με τα κλάμματα, με τη χαρά κ' η πίκρα",1,1,7,5,6,2,10,3,4,45,10,7,5,1,2
Γερεύει να κρουφτεί πιστ' απ' το δάχτ'λά του,1,5,12,17,6,8,2,3,1,46,1,4,1,1,8
Τα λό(γ)ια των πολλώ κάνουν τον άθθρωπο λωλλόν,3,2,16,9,6,9,10,3,4,17,1,2,4,5,8
Πε ξένα κόλλ'βα φκιάν' μνημόσυνο,4,5,6,17,5,8,8,9,4,44,1,4,6,4,5
Αναθεμα ποιός δούλευε τρία καλά Σαββάτα της τυρινής Κρεατινής και των Αγίων Θοδώρων,4,4,3,6,6,6,7,2,7,17,8,1,6,7,9
Αχάριστον (τ) χάρη μη κάνεις,2,2,16,17,2,2,3,3,2,43,4,10,3,4,5
Στίβει την πέτρα και βγάνει ζουμί,1,1,8,8,2,8,10,3,1,37,1,4,3,5,3
Είναι Ζαρκοπαφίλλης,3,5,16,50,6,8,9,3,6,50,7,5,5,6,2
Γονιού ευχή αγόραζε και στο βουνό κατοίκα,2,2,6,14,6,2,3,7,1,42,5,3,6,4,7
"Σαράντα καλόγεροι, ο καθένας με τον πόνο τ'",4,1,7,2,5,6,10,6,1,17,1,1,5,2,7
Θέλει κι ο Μούτσιος καφέ!,1,5,8,50,6,8,1,5,1,4,1,6,6,5,10
Ξέρεις και συ που πάει του χωριού η αγγέλη,1,5,17,2,6,4,7,4,4,3,3,4,6,7,7
Επήα να κόψω τ' αυτιά και 'βαλα και κέρατα,1,5,12,18,6,3,10,1,5,38,1,1,4,5,2
Απού βράσει τζαί στεγνώσει εν έν τίποτε,1,1,17,18,6,4,7,1,4,42,9,1,6,5,2
